fecha,sector,region,producto,unidades,monto
2025-01-01,Sector 2,África,Fanta,4,12980
2025-01-01,Sector 3,África,Agua,3,8330
2025-01-01,Sector 4,América,Agua,3,7190
2025-01-01,Sector 3,Oceanía,Cola Zero,1,4930
2025-01-01,Sector 1,Oceanía,Agua,1,3480
2025-01-01,Sector 5,Oceanía,Sprite,1,4750
2025-01-01,Sector 4,Asia,Cola Original,3,12080
2025-01-01,Sector 3,Asia,Cola Original,2,7230
2025-01-01,Sector 5,Europa,Fanta,2,6900
2025-01-02,Sector 3,África,Agua,3,7720
2025-01-02,Sector 4,Europa,Cola Original,3,13490
2025-01-02,Sector 5,Oceanía,Sprite,1,4820
2025-01-02,Sector 5,América,Agua,2,4380
2025-01-02,Sector 4,Europa,Agua,3,7480
2025-01-03,Sector 5,África,Fanta,3,11340
2025-01-03,Sector 4,África,Fanta,4,14260
2025-01-03,Sector 1,África,Cola Original,3,11300
2025-01-03,Sector 3,Oceanía,Cola Original,1,3900
2025-01-03,Sector 2,Asia,Agua,3,8390
2025-01-04,Sector 4,Asia,Cola Zero,3,14010
2025-01-04,Sector 3,América,Cola Zero,1,6950
2025-01-04,Sector 5,África,Fanta,3,8770
2025-01-04,Sector 4,África,Cola Original,5,20690
2025-01-04,Sector 2,Asia,Fanta,3,8950
2025-01-04,Sector 3,Oceanía,Sprite,1,3630
2025-01-04,Sector 3,América,Cola Original,1,5790
2025-01-04,Sector 3,América,Cola Original,1,5780
2025-01-04,Sector 2,Oceanía,Sprite,1,4680
2025-01-05,Sector 5,América,Cola Original,1,6170
2025-01-05,Sector 1,África,Agua,3,7060
2025-01-05,Sector 3,Oceanía,Sprite,1,3480
2025-01-05,Sector 3,África,Cola Zero,2,11540
2025-01-05,Sector 5,Europa,Sprite,2,8590
2025-01-05,Sector 3,América,Agua,1,3800
2025-01-05,Sector 2,América,Sprite,2,5760
2025-01-05,Sector 1,Asia,Sprite,2,7320
2025-01-05,Sector 5,Europa,Cola Zero,2,10760
